Run,Age,Assay Type,AssemblyName,AvgSpotLen,Bases,BIOMATERIAL_PROVIDER,BioProject,BioSample,BioSampleModel,Bytes,cell_line,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,disease,disease_stage,ETHNICITY,Experiment,Instrument,isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sample_type,sex,SRA Study,tissue,create_date,version
SRR8670667,81,WGS,GCA_000001405.13,202,128791662980,ATCC:T24,PRJNA523380,SAMN10987918,Human,68905947744,T24,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (transitional_cell_carcinoma),primary,Caucasian,SRX5466713,Illumina HiSeq 2000,cell line,WGS-T24_URINARY_TRACT,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,T24_URINARY_TRACT,cell culture,female,SRP186687,urinary_tract,2019-03-05T22:40:00Z,1
SRR8670668,81,WGS,GCA_000001405.13,202,102955983372,NIBRI,PRJNA523380,SAMN10988334,Human,46845960495,SW948,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (adenocarcinoma),primary,Caucasian,SRX5466712,Illumina HiSeq 2000,cell line,WGS-SW948_LARGE_INTESTINE,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,SW948_LARGE_INTESTINE,cell culture,female,SRP186687,large_intestine,2019-03-05T17:38:00Z,1
SRR8670669,53,WGS,GCA_000001405.13,202,117381684900,NA,PRJNA523380,SAMN10987793,Human,60335385048,SW 900,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (squamous_cell_carcinoma),primary,Caucasian,SRX5466711,Illumina HiSeq 2000,cell line,WGS-SW900_LUNG,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,SW900_LUNG,cell culture,male,SRP186687,lung,2019-03-05T19:22:00Z,1
SRR8670670,59,WGS,GCA_000001405.13,202,136392701588,GNF,PRJNA523380,SAMN10988339,Human,76410262878,SW579,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (anaplastic_carcinoma),primary,Caucasian,SRX5466710,Illumina HiSeq 2000,cell line,WGS-SW579_THYROID,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,SW579_THYROID,cell culture,male,SRP186687,thyroid,2019-03-05T21:09:00Z,1
SRR8670671,NA,WGS,GCA_000001405.13,202,111933931548,JCRB:TE-1,PRJNA523380,SAMN10988294,Human,55384403411,TE-1,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (squamous_cell_carcinoma),primary,Asian,SRX5466709,Illumina HiSeq 2000,cell line,WGS-TE1_OESOPHAGUS,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,TE1_OESOPHAGUS,cell culture,male,SRP186687,oesophagus,2019-03-05T18:52:00Z,1
SRR8670672,58,WGS,GCA_000001405.13,202,132584173792,GNF,PRJNA523380,SAMN10988291,Human,76254420705,TE-11,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (squamous_cell_carcinoma),primary,Asian,SRX5466708,Illumina HiSeq 2000,cell line,WGS-TE11_OESOPHAGUS,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,TE11_OESOPHAGUS,cell culture,NA,SRP186687,oesophagus,2019-03-05T20:58:00Z,1
SRR8670673,72,WGS,GCA_000001405.13,202,125646034342,NIBRI,PRJNA523380,SAMN10988370,Human,65325605195,T84,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (adenocarcinoma),metastasis,Caucasian,SRX5466707,Illumina HiSeq 2000,cell line,WGS-T84_LARGE_INTESTINE,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,T84_LARGE_INTESTINE,cell culture,male,SRP186687,large_intestine,2019-03-05T19:58:00Z,1
SRR8670674,54,WGS,GCA_000001405.13,202,124831699420,ATCC:T-47D,PRJNA523380,SAMN10987684,Human,62970989456,T-47D,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (ductal_carcinoma),metastasis,Caucasian,SRX5466706,Illumina HiSeq 2000,cell line,WGS-T47D_BREAST,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,T47D_BREAST,cell culture,female,SRP186687,breast,2019-03-05T19:02:00Z,1
SRR8670675,1,WGS,GCA_000001405.13,202,149307071032,NIBRI,PRJNA523380,SAMN10987847,Human,77479915714,THP-1,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","haematopoietic_neoplasm (acute_myeloid_leukaemia\, M5)",primary,Asian,SRX5466705,Illumina HiSeq 2000,cell line,WGS-THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,cell culture,male,SRP186687,haematopoietic_and_lymphoid_tissue,2019-03-05T20:05:00Z,1
SRR8670676,73,WGS,GCA_000001405.13,202,126381939330,Riken,PRJNA523380,SAMN10988298,Human,65426608465,TE-5,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (squamous_cell_carcinoma),primary,Asian,SRX5466704,Illumina HiSeq 2000,cell line,WGS-TE5_OESOPHAGUS,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,TE5_OESOPHAGUS,cell culture,female,SRP186687,oesophagus,2019-03-05T19:28:00Z,1
