Study ID	Patient ID	Sample ID	Age	Annotation Source	Cancer Type	Cancer Type Detailed	Cell Line Source	Characteristics	DepMap ID	Disease Ontology	Doubling Time (hrs)	Doubling Time From Vendor	Ethnicity Category	Fraction Genome Altered	Freezing Medium	Genome Doublings	Geographic Distribution	Growth Medium	Histology	Hist Subtype 1	Hist Subtype 2	Hist Subtype 3	Life Stage	Lineage	Lineage Molecular Subtype	Lineage Subtype	Lineage Sub-subtype	Mutation Count	Mutation Rate	Name	Oncotree Code	Pathologist Annotation	Ploidy	Primary Tumor Site	Proteomics 10-Plex ID	Proteomics TMT label	Purity	Race Category	Number of Samples Per Patient	Sample Type	Sex	Site of Finding	Site Subtype 1	Site Subtype 2	Site Subtype 3	Subtype	Supplements	TMB (nonsynonymous)	Tumor Type	Type Refined
ccle_broad_2019	127399_SOFT_TISSUE	127399_SOFT_TISSUE	NA	NA	Soft Tissue Sarcoma	Synovial Sarcoma	NA	NA	ACH-001270	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	soft_tissue	NA	synovial_sarcoma	NA	163	NA	NA	SYNS	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	Synovial	NA	5.53333333333	NA	NA
ccle_broad_2019	1321N1_CENTRAL_NERVOUS_SYSTEM	1321N1_CENTRAL_NERVOUS_SYSTEM	NA	CCLE	Glioma	Astrocytoma	NA	NA	ACH-001000	Brain Cancer	NA	NA	Caucasian	0.5648	NA	2	NA	NA	Glioma	astrocytoma	NS	NS	NA	central_nervous_system	NA	glioma	astrocytoma	NA	NA	1321N1	ASTR	NA	3.45	Central_Nervous_System	NA	NA	0.98	NA	1	Primary	NA	NA	brain	NS	NS	Astrocytoma	NA	NA	glioma	glioma
ccle_broad_2019	143B_BONE	143B_BONE	13	CCLE	Bone Cancer	Osteosarcoma	NA	NA	ACH-001001	NA	NA	NA	Caucasian	0.5014	NA	2	NA	NA	Osteosarcoma	NS	NS	NS	NA	bone	NA	osteosarcoma	NA	NA	NA	143B	OS	NA	3.61	Bone	NA	NA	0.98	Caucasian	1	Primary	Female	NA	NS	NS	NS	Osteosarcoma	NA	NA	osteosarcoma	osteosarcoma
ccle_broad_2019	201T_LUNG	201T_LUNG	NA	NA	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	NA	NA	ACH-002089	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	lung	NA	NSCLC	NSCLC_adenocarcinoma	290	NA	NA	LUAD	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	NA	10.1	NA	lung_NSC
ccle_broad_2019	22RV1_PROSTATE	22RV1_PROSTATE	NA	CCLE	Prostate Cancer	Prostate Adenocarcinoma	ATCC	Adherent epithelial	ACH-000956	prostate_cancer	58.4	NA	Caucasian	0.2002	5%DMSO	0	NA	RPMI-1640+10% FBS	Carcinoma	NS	NS	NS	NA	prostate	NA	prostate_adenocarcinoma	NA	2186	539.8308684	22Rv1	PRAD	Prostate:Carcinoma	2.13	Prostate	24	126	0.99	NA	1	Primary	Male	NA	NS	NS	NS	Adenocarcinoma	NA	73.7	prostate	prostate
ccle_broad_2019	2313287_STOMACH	2313287_STOMACH	72	CCLE	Esophagogastric Cancer	Stomach Adenocarcinoma	DSMZ	aderent epithelial cells growing as confluent monolayers	ACH-000948	NA	97.6	50 hrs	Caucasian	0.1029	10%DMSO	0	NA	90%RPMI 1640+10% h.i FBS	Carcinoma	adenocarcinoma	NS	NS	NA	gastric	NA	gastric_adenocarcinoma	NA	2272	521.3552528	23132/87	STAD	Gastric:Carcinoma	2.09	Stomach	NA	NA	1	NA	1	Primary	Male	NA	NS	NS	NS	Adenocarcinoma	NA	76.2666666667	stomach	stomach
ccle_broad_2019	253JBV_URINARY_TRACT	253JBV_URINARY_TRACT	NA	CCLE	Bladder Cancer	Bladder Urothelial Carcinoma	NA	Adherent epithelial	ACH-000026	NA	NA	NA	Caucasian	NA	5%DMSO	NA	NA	DMEM + 10% FBS	Carcinoma	transitional_cell_carcinoma	NS	NS	NA	urinary_tract	NA	bladder_carcinoma	NA	339	145.6658473	253J-BV	BLCA	Bladder:Carcinoma	NA	Urinary_Tract	NA	NA	NA	NA	1	Primary	NA	NA	bladder	NS	NS	Carcinoma	NA	11.4	urinary_tract	urinary_tract
ccle_broad_2019	253J_URINARY_TRACT	253J_URINARY_TRACT	NA	CCLE	Bladder Cancer	Bladder Urothelial Carcinoma	KCLB	monolayer	ACH-000011	NA	NA	NA	Caucasian	NA	NA	NA	NA	Eagle	Carcinoma	transitional_cell_carcinoma	NS	NS	NA	urinary_tract	NA	bladder_carcinoma	NA	308	137.8568194	253J	BLCA	Bladder:Carcinoma	NA	Urinary_Tract	NA	NA	NA	NA	1	Primary	NA	NA	bladder	NS	NS	Carcinoma	NA	10.3666666667	urinary_tract	urinary_tract
ccle_broad_2019	42MGBA_CENTRAL_NERVOUS_SYSTEM	42MGBA_CENTRAL_NERVOUS_SYSTEM	63	CCLE	Glioma	Astrocytoma	DSMZ	Adherent	ACH-000323	Brain Cancer	82.6	NA	Caucasian	0.6583	5%DMSO	0	NA	RPMI:EMEM (1:1) +20 % FBS	Glioma	astrocytoma_Grade_IV	glioblastoma_multiforme	NS	NA	central_nervous_system	NA	glioma	astrocytoma	209	107.0508799	42-MG-BA	ASTR	CNS:Glioma_HighGrade	1.33	Central_Nervous_System	NA	NA	1	NA	1	Primary	Male	NA	brain	NS	NS	Astrocytoma	NA	7.03333333333	glioma	glioma
ccle_broad_2019	451LU_SKIN	451LU_SKIN	NA	NA	Melanoma	Cutaneous Melanoma	NA	NA	ACH-001002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	skin	NA	melanoma	NA	468	NA	NA	SKCM	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	Melanoma	NA	15.6	NA	melanoma
