,Run,FlowCellID,Age,AssayType,AssemblyName,AvgSpotLen,Bases,BiomaterialProvider,BioProject,BioSample,BioSampleModel,Bytes,CellLine,CenterName,Consent,DataStoreFileType,DataStoreProvider,DataStoreRegion,Disease,DiseaseStage,Ethnicity,Experiment,Instrument,Isolate,LibraryName,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,SampleName,SampleType,Sex,SRAStudy,Tissue,CreateDate,CreateDateBatch,Version,StudyID,PatientID,AnnotationSource,CancerType,CancerTypeDetailed,CellLineSource,Characteristics,DepMapID,DiseaseOntology,DoublingTimeHrs,FractionGenomeAltered,FreezingMedium,GenomeDoublings,GeographicDistribution,GrowthMedium,Histology,HistologySubtype1,HistologySubtype2,LifeStage,Lineage,LineageMolecularSubtype,LineageSubtype,LineageSubSubtype,MutationCount,MutationRate,CellLineNickName,OncotreeCode,PathologistAnnotation,Ploidy,PrimaryTumorSite,Proteomics10PlexID,ProteomicsTMTLabel,Purity,SiteOfFinding,SiteSubtype1,SiteSubtype2,Subtype,Supplements,TMBNonSynonymous
1384,SRR8615222,20190223_PRJNA523380_SRR8615222,,RNA-Seq,GCA_000001405.13,202,16971434000,GNF,PRJNA523380,SAMN10988301,Human,8513264356,TE-15,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (squamous_cell_carcinoma),primary,Asian,SRX5414531,Illumina HiSeq 2500,cell line,RNASeq-TE15_OESOPHAGUS,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,TE15_OESOPHAGUS,cell culture,female,SRP186687,oesophagus,2019-02-23T22:54:00Z,2019-02-23,1.0,ccle_broad_2019,TE15_OESOPHAGUS,CCLE,Esophagogastric Cancer,Esophageal Squamous Cell Carcinoma,GNF,,ACH-000353,,,0.6947,,1.0,,,Carcinoma,squamous_cell_carcinoma,NS,,esophagus,,esophagus_squamous,,359.0,131.4062314,TE-15,ESCC,Oesophagus:Carcinoma,2.77,Oesophagus,,,1.0,,NS,NS,Squamous Cell Carcinoma,,12.2
1385,SRR8615223,20190223_PRJNA523380_SRR8615223,,RNA-Seq,GCA_000001405.13,202,17348945134,Unknown,PRJNA523380,SAMN10989616,Human,9345709222,OCIMY5,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Unknown,Unknown,Unknown,SRX5414530,Illumina HiSeq 2500,cell line,RNASeq-OCIMY5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,OCIMY5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,cell culture,Unknown,SRP186687,haematopoietic_and_lymphoid_tissue,2019-02-23T23:00:00Z,2019-02-23,1.0,ccle_broad_2019,OCIMY5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,Mature B-Cell Neoplasms,Plasma Cell Myeloma,,,ACH-000854,,,0.2998,,,,,,,,,plasma_cell,,multiple_myeloma,,248.0,,,PCM,,,,,,,,,,Multiple Myeloma,,8.33333333333
1386,SRR8615224,20190223_PRJNA523380_SRR8615224,,RNA-Seq,GCA_000001405.13,202,17142079964,Unknown,PRJNA523380,SAMN10989617,Human,9255135797,OCI-MY7,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Unknown,Unknown,Unknown,SRX5414529,Illumina HiSeq 2500,cell line,RNASeq-OCIMY7_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,OCIMY7_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,cell culture,Unknown,SRP186687,haematopoietic_and_lymphoid_tissue,2019-02-23T22:52:00Z,2019-02-23,1.0,ccle_broad_2019,OCIMY7_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,Mature B-Cell Neoplasms,Plasma Cell Myeloma,,,ACH-000436,,,0.5297,,,,,,,,,plasma_cell,,multiple_myeloma,,144.0,,,PCM,,,,,,,,,,Multiple Myeloma,,4.96666666667
1387,SRR8615225,20190223_PRJNA523380_SRR8615225,38.0,RNA-Seq,GCA_000001405.13,202,16879950018,NIBRI,PRJNA523380,SAMN10987922,Human,8469592715,OCUM-1,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (diffuse_adenocarcinoma),primary,Asian,SRX5414528,Illumina HiSeq 2500,cell line,RNASeq-OCUM1_STOMACH,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,OCUM1_STOMACH,cell culture,female,SRP186687,stomach,2019-02-23T22:53:00Z,2019-02-23,1.0,ccle_broad_2019,OCUM1_STOMACH,CCLE,Esophagogastric Cancer,Diffuse Type Stomach Adenocarcinoma,NIBRI,,ACH-000247,,,0.3763,,0.0,japan,,Carcinoma,diffuse_adenocarcinoma,NS,,gastric,,gastric_adenocarcinoma,diffuse_gastric,297.0,133.8681685,OCUM-1,DSTAD,Gastric:Carcinoma,2.35,Stomach,39.0,129c,1.0,,NS,NS,Adenocarcinoma,,10.1
1388,SRR8615226,20190223_PRJNA523380_SRR8615226,72.0,RNA-Seq,GCA_000001405.13,202,18687851634,HPACC,PRJNA523380,SAMN10988362,Human,9880139166,OE19,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (adenocarcinoma),primary,Caucasian,SRX5414527,Illumina HiSeq 2500,cell line,RNASeq-OE19_OESOPHAGUS,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,OE19_OESOPHAGUS,cell culture,male,SRP186687,oesophagus,2019-02-23T23:00:00Z,2019-02-23,1.0,ccle_broad_2019,OE19_OESOPHAGUS,CCLE,Esophagogastric Cancer,Esophageal Squamous Cell Carcinoma,HPACC,AHERENT EPITHELIAL;,ACH-000679,,78.3,0.8988,5% DMSO,1.0,,RPMI-1640+10%FBS,Carcinoma,adenocarcinoma,NS,,esophagus,,esophagus_squamous,laryngeal,319.0,153.3131471,OE19,ESCC,Oesophagus:Carcinoma,2.69,Oesophagus,,,1.0,,lower_third,NS,Squamous Cell Carcinoma,2mM l-GLUTAMINE,10.7666666667
1389,SRR8615227,20190223_PRJNA523380_SRR8615227,74.0,RNA-Seq,GCA_000001405.13,202,19905236752,HPACC,PRJNA523380,SAMN10989579,Human,10506160474,OE21,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (squamous_cell_carcinoma),primary,Caucasian,SRX5414526,Illumina HiSeq 2500,cell line,RNASeq-OE21_OESOPHAGUS,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,OE21_OESOPHAGUS,cell culture,male,SRP186687,oesophagus,2019-02-23T23:05:00Z,2019-02-23,1.0,ccle_broad_2019,OE21_OESOPHAGUS,CCLE,Esophagogastric Cancer,Esophageal Squamous Cell Carcinoma,HPACC,ADHERENT EPITHELIAL;,ACH-000544,oesophageal squamous cell carcinoma,59.0,0.6199,5% DMSO,1.0,,RPMI-1640+10% FBS,Carcinoma,squamous_cell_carcinoma,NS,,esophagus,,esophagus_squamous,,266.0,108.4608605,OE21,ESCC,Oesophagus:Carcinoma,3.22,Oesophagus,,,1.0,,NS,NS,Squamous Cell Carcinoma,2mM L-GLUTAMINE,8.93333333333
1390,SRR8615228,20190223_PRJNA523380_SRR8615228,73.0,RNA-Seq,GCA_000001405.13,202,19152015920,HPACC,PRJNA523380,SAMN10987775,Human,9623553754,OE33,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",other (metaplasia),primary,Caucasian,SRX5414525,Illumina HiSeq 2500,cell line,RNASeq-OE33_OESOPHAGUS,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,OE33_OESOPHAGUS,cell culture,female,SRP186687,oesophagus,2019-02-23T23:01:00Z,2019-02-23,1.0,ccle_broad_2019,OE33_OESOPHAGUS,CCLE,Esophagogastric Cancer,Esophageal Adenocarcinoma,HPACC,"EPITHELIAL, ADHERENT",ACH-000383,,61.3,0.4923,5% DMSO,1.0,,RPMI-1640+10% FBS,Other,metaplasia,NS,,esophagus,,esophagus_adenocarcinoma,,236.0,99.55688748,OE33,ESCA,Oesophagus:Benign,2.54,Oesophagus,10.0,129n,1.0,,lower_third,NS,Adenocarcinoma,2mM l-GLUTAMINE,7.93333333333
1391,SRR8615229,20190223_PRJNA523380_SRR8615229,,RNA-Seq,GCA_000001405.13,202,17238188938,Unknown,PRJNA523380,SAMN10988391,Human,9208697171,OELE,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",other (immortalized_epithelial),Unknown,Caucasian,SRX5414524,Illumina HiSeq 2500,cell line,RNASeq-OELE_OVARY,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,OELE_OVARY,cell culture,Unknown,SRP186687,ovary,2019-02-23T22:53:00Z,2019-02-23,1.0,ccle_broad_2019,OELE_OVARY,ACHILLES,"Ovarian/Fallopian Tube Cancer, NOS",Ovary/Fallopian Tube,,,ACH-000494,,,0.0242,,,,,Other,immortalized_epithelial,NS,,engineered_ovary,,,,109.0,115.9910046,OELE,OVARY,,,Ovary,,,,,NS,NS,,,3.63333333333
1392,SRR8615230,20190223_PRJNA523380_SRR8615230,60.0,RNA-Seq,GCA_000001405.13,202,23191527484,DSMZ:ONCO-DG-1,PRJNA523380,SAMN10988512,Human,12185589821,ONCO-DG-1,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (adenocarcinoma),metastasis,Caucasian,SRX5414523,Illumina HiSeq 2500,cell line,RNASeq-ONCODG1_OVARY,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,ONCODG1_OVARY,cell culture,female,SRP186687,ovary,2019-02-23T23:08:00Z,2019-02-23,1.0,ccle_broad_2019,ONCODG1_OVARY,CCLE,Ovarian Cancer,High-Grade Serous Ovarian Cancer,DSMZ,,ACH-000013,ovarian_cancer,54.7,0.482,5% DMSO,1.0,,,Carcinoma,adenocarcinoma,NS,,ovary,,ovary_adenocarcinoma,high_grade_serous,184.0,76.722086,ONCO-DG-1,HGSOC,Ovary:Carcinoma,3.13,Ovary,,,0.98,ascites,NS,NS,"Adenocarcinoma, high grade serous",,6.2
1393,SRR8615231,20190223_PRJNA523380_SRR8615231,56.0,RNA-Seq,GCA_000001405.13,202,12270092868,ATCC:MES-SA,PRJNA523380,SAMN10987906,Human,5874936339,MES-SA,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",sarcoma,primary,Caucasian,SRX5414522,Illumina HiSeq 2500,cell line,RNASeq-MESSA_SOFT_TISSUE,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,MESSA_SOFT_TISSUE,cell culture,female,SRP186687,soft_tissue,2019-02-23T22:44:00Z,2019-02-23,1.0,ccle_broad_2019,MESSA_SOFT_TISSUE,CCLE,Uterine Sarcoma,Uterine Sarcoma/Mesenchymal,ATCC,Fibroblast  adherent,ACH-000449,,35.3,0.1154,5% DMSO,0.0,,McCoy's 5A + 10%FBS,Sarcoma,NS,NS,,soft_tissue,,uterine_sarcoma,,341.0,121.3182747,MES-SA,USARC,Soft_Tissue:Sarcoma_Others,1.93,Soft_Tissue,,,0.99,,fibrous_tissue_and_uncertain_origin,uterus,Uterine Sarcoma,,11.6333333333
